design,arm,alpha,group,n,pooled_raw_ratio,mean_raw_ratio,wins,p90,worst,pooled_cross_ratio,mean_downstream_anchor_error_ratio,mean_unweighted_anchor_error_ratio,mean_cosine
reduced112,companion_17,0.116793628564868,calib_dev,8,0.9356934996547359,0.9383919970485488,6,1.1065043277043238,1.1374984398091554,0.9310332640211827,9.449564536945712,1.0244160593620946,0.30314520300836967
reduced112,companion_17,0.116793628564868,validation,8,0.7054901019999619,0.8778450138481335,6,1.0654326352575227,1.184246668553868,0.6902393741927362,7.016602115865236,1.014110316679615,0.3445895016692347
reduced112,companion_17,0.116793628564868,expansion,8,0.9267175572967281,0.903136143437868,5,1.0690581205975611,1.0998843011062138,0.9228421062308712,8.99934088605485,1.017666513930033,0.2883333676787423
reduced112,companion_17,0.116793628564868,rotation,4,0.9502310535259285,0.9604173024861822,3,1.1192414776036999,1.2067176744559538,0.9477286079583558,5.935735667332059,1.004348510818478,0.2836182545183738
reduced112,companion_17,0.116793628564868,rotation_expansion,8,1.0639860462084143,1.1135479672907955,5,1.5605241982703586,2.3153324092773717,1.0687398212239232,12.63501296515092,1.0193388973563482,0.1721621678561126
reduced112,companion_2,-0.016706069469399384,train_dev,16,0.9834454957715588,1.0177043470261,7,1.1351722393368775,1.1802656993661131,0.9819964895625859,66.12056695001237,1.154400057908705,-0.01877075216409471
reduced112,companion_2,-0.016706069469399384,calib_dev,8,1.068822661658988,1.0693735852455737,4,1.1879856057601783,1.3116018169665382,1.0738101795387855,106.88049468906397,1.2918722433982581,-0.1267514679415662
reduced112,companion_2,-0.016706069469399384,validation,8,1.029548012321546,1.0089716804865547,3,1.0735878753377839,1.0942903708886507,1.0310781092596135,102.09789037969479,1.1543663134072646,-0.006636537271831538
reduced112,companion_2,-0.016706069469399384,expansion,8,1.024044353616832,1.0614737193208952,5,1.272193990088148,1.39019419177283,1.0253159094276758,76.2393143298429,1.1783065846861096,-0.028765829937410448
reduced112,companion_2,-0.016706069469399384,rotation,4,1.092411739043774,1.0889957802936605,0,1.1021260079897197,1.1049413434421267,1.0970583181487232,47.046107115913564,1.046773486513772,-0.36094943304035165
reduced112,companion_2,-0.016706069469399384,rotation_expansion,8,1.0065065981431562,1.0008841993722188,4,1.0746606368344176,1.1450445901704691,1.0069899989081947,104.88174105454631,1.1605580191276559,0.09091883035899673
reduced112,companion_4,0.002758759542843381,train_dev,16,0.9998015904479438,0.9985069786450507,10,1.0152133184504257,1.0331223268876442,0.999784223774265,31.655678051114666,1.075581246666321,0.11447028006993672
reduced112,companion_4,0.002758759542843381,calib_dev,8,0.9950433398554988,0.9945989623121181,6,1.0103482067081182,1.0149663333982608,0.9946841350456459,41.8232300733697,1.128323140684571,0.15449217685854894
reduced112,companion_4,0.002758759542843381,validation,8,0.9910009194549609,0.9964669301781333,6,1.0095156248826338,1.0140228255408172,0.9905349163466115,37.59384149956658,1.0825247533109112,0.1755788981825242
reduced112,companion_4,0.002758759542843381,expansion,8,0.9967647475062903,0.9962215507022962,5,1.0044225645399596,1.0071461307748608,0.9965936551919164,26.573766108342426,1.0736198660939342,0.1863348901538283
reduced112,companion_4,0.002758759542843381,rotation,4,0.9949347004932906,0.9916461954690343,3,0.9993525865804239,1.001605115777581,0.9946800108284085,29.751279414957317,1.026095684780507,0.30718456549237816
reduced112,companion_4,0.002758759542843381,rotation_expansion,8,1.0018429742330306,1.0023032809189185,2,1.0101272965157084,1.0135514662666452,1.0019798960368045,35.16868405331583,1.0731889226575926,-0.08952144873539553
reduced112,companion_8,0.09079535509714363,train_dev,16,0.9028262472734194,0.9537884065453252,9,1.2209516460545933,1.492549318917779,0.8943206847324342,14.105990166354658,1.038318491972549,0.26720002850072483
reduced112,companion_8,0.09079535509714363,calib_dev,8,1.1301838091518446,1.0830153762562293,3,1.3372056843005944,1.3595269414837348,1.1396181155293308,21.146598697427663,1.0713919965383938,0.09279459530811435
reduced112,companion_8,0.09079535509714363,validation,8,0.6917285103255263,0.8669563295917606,7,1.0778670909269763,1.3556148172959166,0.675765160327175,17.70832331630927,1.0460738660451046,0.3938079425218072
reduced112,companion_8,0.09079535509714363,expansion,8,0.8847974548966664,0.8844467072531776,7,0.9970584557263485,1.0938633062651357,0.8787051112227818,13.454134048530852,1.0486704354101466,0.37564925119573966
reduced112,companion_8,0.09079535509714363,rotation,4,0.8172009468406889,0.9295837323340997,3,1.1389580247631759,1.2013425889687053,0.8080095792763125,18.628190228583325,1.0104142051817484,0.3135793233740962
reduced112,companion_8,0.09079535509714363,rotation_expansion,8,1.0778454305539271,1.1273085046959526,4,1.5413769837822116,1.924164849318065,1.0836288737382969,23.17963478516668,1.0398905893927881,0.09946176278286227
reduced112,paired,-0.522415669651845,train_dev,16,0.989011416787836,1.0127461764820982,5,1.101312995238637,1.1523125557850307,0.9880495924358338,1.0349710377807169,0.9998382123058868,-0.03705447816301245
reduced112,paired,-0.522415669651845,calib_dev,8,1.038817629424535,1.0348881849789122,2,1.0894572386961836,1.1012846600040755,1.0416307089558892,0.9882442498081174,1.0001783895690948,-0.14770832821426472
reduced112,paired,-0.522415669651845,validation,8,1.0158391623008873,1.0200916317167807,5,1.1081485232140629,1.1257636767448753,1.0166593681906917,1.0251320780397557,0.9997928484008294,-0.031836139663477196
reduced112,paired,-0.522415669651845,expansion,8,1.024920425213287,1.0506791197104732,2,1.1924154945587309,1.2046571639350607,1.0262383109836275,0.9504766719967291,0.9999226122694724,-0.1345246214790929
reduced112,paired,-0.522415669651845,rotation,4,1.0351347501054655,1.028169907088176,1,1.0578175426011918,1.0656579133700719,1.0369013697729117,0.9710238437181284,0.9999394521635762,-0.17942690136694225
reduced112,paired,-0.522415669651845,rotation_expansion,8,1.0207618062887183,1.014612268913316,2,1.0777571818996168,1.0846262846009833,1.0223042825294086,1.015352284588734,1.000211812745083,-0.04463181891608435
